Date,Open,High,Low,Close
8-July-2015,28031.45,28031.45,27635.72,27687.72
9-July-2015,27681.49,27798.13,27540.60,27573.66
10-July-2015,27705.36,27729.46,27530.90,27661.40
13-July-2015,27739.32,28005.17,27635.06,27961.19
14-July-2015,27986.92,28018.59,27853.96,27932.90
15-July-2015,28022.14,28218.37,27986.48,28198.29
16-July-2015,28259.70,28478.43,28245.81,28446.12
17-July-2015,28480.92,28576.32,28417.46,28463.31
20-July-2015,28544.28,28549.13,28319.83,28420.12
21-July-2015,28381.82,28518.06,28138.30,28182.14
22-July-2015,28159.42,28546.42,28070.91,28504.93
23-July-2015,28540.97,28578.33,28315.37,28370.84
24-July-2015,28390.50,28402.64,28083.76,28112.31
27-July-2015,28117.65,28117.65,27529.57,27561.38
28-July-2015,27630.21,27676.65,27416.39,27459.23
29-July-2015,27540.46,27609.29,27470.09,27563.43
30-July-2015,27685.82,27854.46,27649.97,27705.35
31-July-2015,27814.51,28161.17,27814.51,28114.56
3-August-2015,28089.09,28263.35,28071.37,28187.06
4-August-2015,28225.04,28264.72,27866.12,28071.93
5-August-2015,28138.04,28315.71,28135.68,28223.08
6-August-2015,28291.88,28359.96,28163.69,28298.13
7-August-2015,28327.11,28335.67,28193.93,28236.39
10-August-2015,28250.78,28417.59,28017.85,28101.72
11-August-2015,28193.26,28205.12,27825.83,27866.09
12-August-2015,27880.76,27883.33,27479.43,27512.26
13-August-2015,27635.25,27791.10,27496.29,27549.53
14-August-2015,27668.06,28100.64,27643.20,28067.31
17-August-2015,28093.54,28095.97,27739.13,27878.27
18-August-2015,27949.13,28040.73,27747.40,27831.54
19-August-2015,27851.81,28021.39,27721.25,27931.64
20-August-2015,27959.19,27964.60,27564.16,27607.82
21-August-2015,27440.10,27442.82,27131.44,27366.07
24-August-2015,26730.40,26730.40,25624.72,25741.56
25-August-2015,25916.26,26124.83,25298.42,26032.38
26-August-2015,26063.27,26156.61,25657.56,25714.66
27-August-2015,26137.03,26302.77,25943.75,26231.19
28-August-2015,26542.84,26687.33,26270.17,26392.38
31-August-2015,26469.42,26504.73,26215.16,26283.09
1-September-2015,26127.04,26141.07,25579.88,25696.44
2-September-2015,25891.95,25939.37,25395.09,25453.56
3-September-2015,25614.69,25835.41,25555.77,25764.78
4-September-2015,25772.58,25775.38,25119.06,25201.90
7-September-2015,25302.98,25387.32,24851.77,24893.81
8-September-2015,24972.01,25411.00,24833.54,25317.87
9-September-2015,25682.87,25820.56,25553.61,25719.56
10-September-2015,25522.96,25733.70,25287.50,25622.17
11-September-2015,25793.77,25875.96,25530.41,25610.21
14-September-2015,25706.87,25891.73,25531.07,25856.70
15-September-2015,25908.34,25909.83,25649.37,25705.93
16-September-2015,25884.05,26006.75,25816.50,25963.97
18-September-2015,26130.36,26471.82,26130.36,26218.91
21-September-2015,26107.98,26233.46,25972.54,26192.98
22-September-2015,26274.37,26339.10,25571.34,25651.84
23-September-2015,25526.53,25934.02,25386.48,25822.99
24-September-2015,25798.05,25949.90,25670.96,25863.50
28-September-2015,25922.71,25936.89,25593.56,25616.84
29-September-2015,25496.38,26054.37,25287.33,25778.66
30-September-2015,25986.52,26179.70,25918.21,26154.83
